,DATE,revenue,collab_spend,facebook_cost,google_ads_cost,bing_ads_cost,tiktok_cost,influencer_cost,tiktok_influencer_cost,tatari_cost,mntn_cost,dm_cost,sms_cost,cj_cost,fig_cost,linkby_cost,sale_status,mb_status,sms_sends,email_campaign_delivery,email_flow_delivery,organic_impressions,print_launch,product_launch,solidcolor_launch
43,2021-10-17,"1,037,978",0,"341,260","50,321","4,196",0,"69,500",0,0,0,0,"4,714",921,0,0,0,0,"766,353","2,028,277","158,949","30,484",112,0,0
44,2021-10-24,"1,030,256",0,"255,437","58,616","4,208",0,"22,616",0,0,0,0,"4,714",602,0,0,0,0,"174,099","2,514,728","144,232","30,484",63,0,0
45,2021-10-31,"934,676",0,"337,406","67,456","5,071",0,"35,200",0,0,"8,950",0,"7,118",747,0,0,0,0,"218,847","3,437,443","158,012","53,555",15,55,0
46,2021-11-07,"1,728,249",0,"467,086","100,784","7,223","4,200","156,750",0,0,"10,441",0,"7,518","2,089",0,0,2,0,"1,008,417","3,731,889","221,609","57,400",0,161,0
47,2021-11-14,"1,364,597",0,"629,412","109,188","7,513","5,700","56,400",0,0,"10,441",0,"7,518","1,243",0,0,0,0,"279,001","2,550,276","186,942","57,400",0,112,0
48,2021-11-21,"3,283,250",0,"775,699","198,507","9,571","17,200","112,200",0,0,"10,441",0,"7,518","4,346",0,0,6,0,"1,127,524","5,196,363","259,824","57,400",0,63,153
49,2021-11-28,"2,482,649",0,"800,575","210,924","16,063","20,106","60,300",0,0,"10,254",0,"6,778","3,975",0,0,4,0,"958,163","6,005,484","335,208","63,439",0,15,133
50,2021-12-05,"2,032,386",0,"634,729","206,964","15,371","10,492","109,750",0,0,"10,113",0,"6,222","2,928",0,0,4,0,"1,449,630","2,835,990","213,876","67,968",0,0,84
51,2021-12-12,"1,535,261",0,"597,643","204,014","14,178","10,500","58,000",0,0,"10,113",0,"6,222","2,244",0,0,2,0,"478,222","3,005,228","210,202","67,968",0,0,35
52,2021-12-19,"585,043",0,"265,564","82,134","8,146","6,500","14,000",0,0,"10,113",0,"6,222",770,0,0,0,0,"88,394","2,633,357","133,176","67,968",0,0,1
53,2021-12-26,"979,711",0,"180,945","56,827","5,667","4,900",0,0,0,"10,094",0,"5,950","1,566",0,0,11,0,"823,837","4,263,035","164,102","63,581",0,0,0
54,2022-01-02,"654,913",0,"149,986","52,536","4,653","3,340","6,000",0,0,"5,702",0,"4,314",364,0,0,2,0,"150,807","1,573,500","130,747","37,258",0,0,0
55,2022-01-09,"1,098,519",0,"208,514","53,136","4,637","6,296","17,900","2,500",0,0,0,"4,314",992,0,0,4,0,"1,517,499","2,191,461","125,079","37,258",153,0,0
56,2022-01-16,"963,182",0,"343,988","64,180","4,887","8,154","27,150",0,0,0,0,"4,314",725,0,0,10,0,"99,613","2,745,497","159,586","37,258",133,0,0
57,2022-01-23,"557,152",0,"174,908","56,776","5,407","10,849","16,450",0,0,0,0,"4,314",435,0,0,0,0,"305,623","2,656,970","147,886","37,258",84,0,0
58,2022-01-30,"594,670",0,"169,880","54,716","5,094","10,847","5,300","2,500","14,286",0,"5,357","5,270",590,0,0,0,0,"37,541","3,989,404","109,689","34,752",35,0,0
59,2022-02-06,"893,466",0,"253,921","63,444","4,972","8,494","35,300",0,"25,000",0,"7,500","5,652",798,0,0,0,0,"1,228,129","2,608,445","127,211","33,750",1,130,0
60,2022-02-13,"836,533",0,"339,659","62,358","5,364","7,347","40,500","9,000","25,000",0,"7,500","5,652",297,0,0,1,0,"996,634","1,549,877","110,587","33,750",0,140,0
61,2022-02-20,"726,653",0,"237,381","58,202","5,484","13,649","17,200","6,000","36,429",0,"7,500","5,652",448,0,0,0,0,"261,364","2,374,112","116,740","33,750",0,91,0
62,2022-02-27,"884,322",0,"281,504","50,774","6,176","14,670","29,250",0,"53,571",0,"2,143","6,763",460,0,0,0,0,"441,068","2,100,555","115,053","42,062",0,42,0
63,2022-03-06,"854,156",0,"322,880","58,470","6,873","14,697","12,800",0,"60,000",0,0,"7,207",396,0,0,0,1,"230,369","2,386,423","113,329","45,387",0,3,0
64,2022-03-13,"1,041,636",0,"258,799","71,569","7,061","23,959","67,250",0,"60,000",0,0,"7,207",416,0,0,0,0,"1,372,349","2,399,568","109,585","45,387",130,0,0
65,2022-03-20,"1,023,846",0,"212,439","76,621","5,121","31,394","33,700","6,000","51,429",0,0,"7,207",609,0,0,1,1,"1,122,985","3,113,424","94,139","45,387",140,0,0
66,2022-03-27,"984,190",0,"172,443","69,735","6,223","24,427","105,050","10,900","36,429",0,0,"7,248",561,0,0,0,0,"328,093","4,291,770","98,367","43,419",91,0,0
67,2022-04-03,"1,024,756",0,"184,352","57,444","6,503","22,431","32,450",500,"8,571",0,0,"7,350",642,0,0,1,1,"905,530","4,496,293","99,757","38,500",42,0,0
68,2022-04-10,"1,010,760",0,"228,659","60,981","5,026","31,436","77,000","9,000",0,0,0,"7,350","1,973",0,0,0,0,"1,328,162","2,073,270","100,529","38,500",3,0,0
69,2022-04-17,"1,048,608",0,"211,990","59,641","6,580","33,739","51,350",0,0,0,0,"7,350",743,0,0,0,1,"1,066,853","1,959,570","99,656","38,500",0,0,81
70,2022-04-24,"962,334",0,"174,799","66,303","6,173","29,712","14,200",0,0,0,0,"7,350",978,0,0,0,0,"170,533","2,704,379","92,290","38,500",0,0,154
71,2022-05-01,"1,008,991",0,"182,649","80,168","7,289","29,726","33,500","2,500",0,0,0,"6,760",991,0,0,2,0,"530,026","2,134,406","87,283","45,387",0,0,105
72,2022-05-08,"1,075,978",0,"214,462","82,611","9,609","25,395","35,700",0,0,0,0,"6,760","1,080",0,0,0,0,"442,770","2,190,194","84,550","45,387",0,0,56
73,2022-05-15,"1,285,122",0,"269,591","87,543","4,781","21,670","54,450",0,0,0,0,"6,760","1,990",0,0,0,0,"677,615","2,275,504","99,851","45,387",0,0,10
74,2022-05-22,"1,475,683",0,"320,068","103,256","6,949","20,835","32,000","9,000",0,0,0,"6,760","1,107",0,0,3,0,"1,526,578","3,082,375","100,775","45,387",0,0,0
75,2022-05-29,"1,485,880",0,"277,967","117,159","9,160","19,121","35,500","2,000",0,0,0,"8,330","2,436",0,0,4,0,"516,059","2,619,568","139,080","46,252",0,0,0
76,2022-06-05,"1,260,758",0,"223,260","93,709","8,025","15,379","64,600","1,500",0,0,0,"9,507","2,193",0,0,0,1,"633,820","3,729,024","108,206","46,900",0,0,0
77,2022-06-12,"1,785,492",0,"289,716","108,957","8,963","14,256","29,500","3,300",0,0,0,"9,507","9,568",0,0,0,0,"1,768,297","2,677,197","136,987","46,900",81,0,0
78,2022-06-19,"1,324,483",0,"347,481","111,553","11,626","15,048","26,300",0,0,0,0,"9,507","4,632",0,0,0,0,"449,366","1,654,262","131,916","46,900",154,55,55
79,2022-06-26,"1,429,763",0,"374,078","143,206","8,332","15,351","76,300","7,000",0,0,0,"9,043","3,876",0,0,0,0,"1,371,083","2,130,176","135,393","46,468",105,161,161
80,2022-07-03,"1,398,221",0,"344,272","139,323","8,612","15,387","70,000",0,0,0,0,"7,885","2,721",0,0,0,0,"984,416","2,715,562","146,834","45,387",56,112,112
81,2022-07-10,"1,315,327",0,"278,634","123,163","8,678","14,827","41,500","2,500",0,0,0,"7,885","1,573",0,0,1,1,"890,817","3,526,869","133,600","45,387",10,63,63
82,2022-07-17,"1,252,591","30,210","226,329","114,734","7,343","15,108","56,108",0,0,0,0,"7,885","1,577",0,0,0,0,"614,063","2,123,466","134,786","45,387",81,15,15
83,2022-07-24,"1,138,504","12,128","214,004","107,236","7,650","15,374","43,515","3,000",0,0,0,"7,885","1,114",0,0,0,0,"1,142,250","3,305,260","151,561","45,387",154,0,0
84,2022-07-31,"1,000,073","11,038","253,075","103,367","8,126","15,373","46,750","9,500",0,0,0,"7,757","1,051",0,0,0,0,"615,500","2,715,192","150,062","38,419",105,0,0
85,2022-08-07,"1,094,489","7,891","275,753","91,204","9,102","15,382","33,650",0,0,0,0,"7,736",668,0,0,0,1,"1,350,311","3,788,572","122,692","37,258",56,0,153
86,2022-08-14,"989,555","2,858","171,318","78,817","7,177","13,339","62,400","8,000",0,0,0,"7,736",378,0,0,0,0,"1,338,587","2,873,454","128,518","37,258",10,130,133
87,2022-08-21,"870,487","3,217","122,793","68,713","5,180","8,760","29,350","1,300",0,0,0,"7,736",425,0,0,0,0,"599,788","3,804,420","117,069","37,258",0,140,84
88,2022-08-28,"882,402",460,"103,181","56,777","4,965","6,448","45,000",0,0,0,0,"7,015",344,0,0,4,0,"1,281,833","3,902,464","124,779","32,290",0,91,35
89,2022-09-04,"842,418",54,"136,681","51,602","4,178","6,650","52,950",700,0,0,0,"6,053",423,0,0,4,0,"228,916","3,334,780","127,538","25,667",0,42,1
90,2022-09-11,"833,846","24,213","173,149","40,357","4,002","7,010","62,958","2,500",0,0,0,"6,053",197,0,0,0,0,"699,246","3,095,692","114,922","25,667",81,23,0
91,2022-09-18,"782,086","9,172","156,073","34,952","3,956","5,233","19,000",0,0,0,0,"6,053",232,0,0,0,1,"447,112","3,530,032","116,360","25,667",154,107,0
92,2022-09-25,"508,056","7,197","136,944","38,890","3,372","5,543","14,000","8,500",0,0,0,"6,190",118,0,0,0,0,"317,503","4,155,654","106,408","25,548",105,147,0
93,2022-10-02,"638,213","5,021","174,652","46,904","3,330","6,925","6,824","2,500",0,0,0,"7,011",262,0,0,0,0,"861,267","3,718,981","105,433","24,839",56,98,0
94,2022-10-09,"771,555","1,969","178,549","49,245","3,119","3,482","9,600",0,0,0,0,"7,011",175,0,0,0,0,"726,944","3,426,402","86,806","24,839",70,49,0
95,2022-10-16,"654,155",386,"157,548","52,928","3,589","4,269","49,900",800,0,0,0,"7,011",302,0,0,0,0,"485,950","3,966,162","120,001","24,839",105,6,153
96,2022-10-23,"1,069,448","37,813","126,057","48,329","2,714","8,523","56,405",0,0,0,0,"7,011",178,0,0,3,0,"454,273","4,997,606","141,309","24,839",56,0,133
97,2022-10-30,"807,437","12,662","120,675","57,473","2,737","7,909","35,802",0,0,0,0,"9,247",224,0,0,2,0,"1,164,072","5,260,474","135,709","40,597",70,0,84
98,2022-11-06,"1,713,793","15,843","229,497","74,428","3,592","3,753","70,441",0,0,0,0,"10,141",773,0,0,5,0,"1,123,395","10,725,101","191,730","46,900",105,0,35
99,2022-11-13,"731,188","2,474","234,465","65,209","3,498","5,248","12,200","4,350",0,0,0,"10,141",256,0,0,1,0,"506,498","4,344,200","123,325","46,900",56,0,1
100,2022-11-20,"2,793,394","8,901","405,058","125,982","7,000","26,262","86,203","4,250",0,0,0,"10,141","1,201",0,0,13,0,"1,466,986","13,245,713","200,577","46,900",10,0,0
101,2022-11-27,"2,009,951","4,930","273,806","100,423","7,311","18,103","8,200",0,0,0,0,"8,005","1,139",0,0,10,1,"678,305","10,840,740","194,120","46,252",0,0,0
102,2022-12-04,"1,584,944","8,866","124,927","69,215","4,579","14,606","40,261","8,750",0,0,0,"5,156",778,451,0,5,1,"404,185","5,899,758","151,813","45,387",81,0,0
103,2022-12-11,"1,697,501","7,223","154,408","93,604","5,427","24,301","14,571",500,0,0,0,"5,156","1,044","2,948",0,4,1,"464,281","6,640,211","170,063","45,387",154,0,0
104,2022-12-18,"581,919","3,521","93,402","43,891","3,301","18,500","1,550","1,550",0,0,0,"5,156",279,"1,138",0,0,1,"334,672","5,068,483","103,682","45,387",105,0,0
105,2022-12-25,"863,564","8,132","102,048","40,496","2,666","18,292","2,238","1,900",0,0,0,"5,156",256,"1,410",0,12,0,"777,840","4,647,359","157,808","45,387",56,0,0
106,2023-01-01,"700,012","5,585","98,815","45,382","1,911","31,605","8,700",650,0,0,0,"4,362",250,"1,041",0,14,0,"187,653","9,023,360","160,181","30,484",10,0,0
107,2023-01-08,"590,586","3,930","68,411","38,760","2,501","18,798","6,650","1,050",0,0,0,"4,362",817,951,0,2,0,"451,465","4,815,625","147,922","30,484",0,0,0
108,2023-01-15,"828,218","4,097","78,443","36,627","1,953","13,876","33,800",350,0,0,0,"4,362",199,900,0,0,0,"563,736","5,355,933","137,371","30,484",106,0,0
109,2023-01-22,"777,044","3,923","85,498","39,166","2,372","13,885","23,350",0,0,0,0,"4,362",244,"1,001",0,0,1,"481,524","4,352,546","153,217","30,484",147,0,0
110,2023-01-29,"609,811","2,893","81,198","40,004","1,454","16,643","8,200",400,0,0,0,"4,565",187,832,0,0,0,"351,256","3,364,895","130,701","28,779",98,0,0
111,2023-02-05,"593,941","2,751","83,828","43,268","1,257","20,590","29,800",0,0,0,0,"4,718",166,903,0,0,0,"503,479","3,704,060","133,571","27,500",49,0,0
112,2023-02-12,"561,566","2,835","88,805","35,637","1,070","28,826","15,500",100,0,0,0,"4,718",117,"1,095",0,0,0,"648,838","4,720,245","186,812","27,500",6,0,0
113,2023-02-19,"619,856","2,539","94,133","28,566","1,542","26,011","19,500",50,0,0,0,"4,718",162,715,0,0,1,"299,055","2,503,532","210,152","27,500",0,0,0
114,2023-02-26,"510,636","3,225","95,900","30,221","1,605","33,878","17,899",0,0,0,0,"5,595",150,950,0,0,0,"389,883","2,986,853","190,837","29,205",0,0,0
115,2023-03-05,"676,609","3,115","89,746","41,816","1,441","33,211","4,500",0,0,0,0,"6,253",2,"1,108",0,0,0,"479,182","2,857,764","220,797","30,484",55,0,0
116,2023-03-12,"882,591","4,255","84,517","42,258","1,195","32,357","50,300",0,0,0,0,"6,253",152,"1,202",0,0,0,"1,193,631","2,020,613","159,128","30,484",161,0,0
117,2023-03-19,"773,232","4,402","86,550","42,013","1,134","25,519","44,550",0,0,0,0,"6,253",275,893,0,3,1,"301,620","1,086,448","164,570","30,484",112,0,0
118,2023-03-26,"521,967","3,611","66,382","34,267","1,177","15,486","2,500",0,0,0,0,"6,263",598,675,0,1,0,"313,492","2,207,918","120,966","30,629",63,0,0
119,2023-04-02,"620,251","1,347","80,814","38,837","1,524","18,848","28,250",0,0,0,0,"6,321",608,716,0,0,0,"487,136","4,356,603","143,109","31,500",15,106,0
120,2023-04-09,"712,058","1,263","108,644","37,656","1,613","34,460","15,125",0,0,0,0,"6,321","1,293",896,"1,858",0,1,"319,617","3,779,568","145,980","31,500",0,147,0
121,2023-04-16,"764,583","1,621","92,435","47,677","1,822","39,113","19,025",0,0,0,0,"6,321","1,691",889,320,0,0,"729,017","3,429,921","132,575","31,500",0,98,0
122,2023-04-23,"790,696",691,"88,704","53,518","2,459","38,921","15,650",0,0,0,0,"6,321","1,890","1,113",408,0,0,"653,379","3,854,711","130,600","31,500",0,49,0
123,2023-04-30,"885,338",331,"119,018","59,322","2,312","38,631","8,400",0,0,0,0,"7,432","1,685","1,700","1,234",0,0,"473,587","1,744,093","134,635","36,435",0,6,0
124,2023-05-07,"1,354,394","58,526","148,552","70,413","2,962","39,173","10,450",0,0,0,0,"7,617","2,128","1,689","1,178",0,1,"855,483","3,429,059","207,299","37,258",0,0,0
125,2023-05-14,"946,631","18,788","151,150","61,186","2,876","27,528","21,950",0,0,0,0,"7,617","1,718","1,677",130,2,0,"612,306","5,520,878","174,786","37,258",0,0,0
126,2023-05-21,"952,822","11,563","112,245","59,667","2,892","16,245","18,175",0,0,0,0,"7,617","1,613","1,458",80,6,0,"1,204,632","3,688,792","199,118","37,258",0,0,0
127,2023-05-28,"752,953","8,812","83,273","41,064","1,796","13,067","2,625",0,0,0,0,"4,352","1,052","1,197","1,526",4,0,"602,448","3,719,458","145,837","21,290",0,0,0
