date_day,revenue,Facebook Cost,Google Ads Cost,Bing Ads Cost,Pinterest Cost,Snapchat Cost,TikTok Cost,Influencer Cost,TikTok Influencers,Tatari,MNTN,Direct Mail,SMS Cost,Collab Spend,CJ Commissions,Fig Spend,Facebook - Loyalty,Linkby Spend,Google Ads - Retention Spend,Ad Credits,Sale,Mystery Box,SMS Sends,Email Campaign Delivery,Email Campaign Opens,Email Campaign Clicks,Email Flow Delivery,Email Flow Opens,Email Flow Clicks,Organic Impressions,Solid Color Launch,Print Launch,Product Launch
2021-01-11,74981.59,24768.38,6384.21,751.97,1245,2918.92,0,0,0,0,0,0,336.0967742,0,2.572,0,477.39,0,294.45,0,0,0,0,0,0,0,20385,7435,30837,5322.58,0,0,0
2021-01-12,77135.81,25754.56,7245.89,675.83,1245,2906.7,0,0,0,0,0,0,336.0967742,0,37.923,0,482.97,0,306.56,0,0,0,4648,17,104,367,15987,4877,21588,5322.58,0,0,0
2021-01-13,93536.4,29769.59,6955.83,694.29,1244.98,2589.13,0,1500,0,0,0,0,336.0967742,0,20.593,0,497.83,0,409.39,0,0,0,0,802681,5991,216359,15793,3810,18597,5322.58,0,0,0
2021-01-14,93266.29,30613.05,7383.66,754.79,1245,2427.65,0,0,0,0,0,0,336.0967742,0,9.664,0,498.47,0,545.96,0,0,0,5454,928212,9752,248671,17647,4120,20284,5322.58,0,0,0
2021-01-15,275229.38,45273.08,8102.65,729.08,1245,2749.7,0,0,0,0,0,0,336.0967742,0,20.852,0,499.68,0,599.66,0,2,0,0,920211,33298,214975,27152,5425,29946,5322.58,0,0,0
2021-01-16,220742.69,66243.65,10819.1,587.76,1244.99,2892.03,0,0,0,0,0,0,336.0967742,0,16.359,0,542.23,0,757.27,0,2,0,0,0,0,0,27006,4386,26911,5322.58,0,0,0
2021-01-17,372095.53,76148.42,12158.23,679.13,1245,3256.36,0,1500,0,0,0,0,336.0967742,0,27.143,0,501.67,0,967.16,0,2,0,0,895093,9769,174803,29391,6282,31464,5322.58,0,0,0
2021-01-18,168196.61,83756.74,12957.5,768.02,1245,3391.05,0,0,0,0,0,0,336.0967742,0,13.554,0,476.77,0,1328.69,0,2,0,9635,5744,508,3213,37409,9898,44394,5322.58,0,0,0
2021-01-19,132315.96,71783.94,11755.61,658.46,1244.95,3381.83,0,0,0,0,0,0,336.0967742,0,10.08,0,482.36,0,1083.57,0,2,0,0,0,0,0,37928,9829,43772,5322.58,0,0,0
2021-01-20,115832.96,54339.92,11588.9,716.55,1244.23,3370.48,0,4000,0,0,0,0,336.0967742,0,8.171,0,489.52,0,1405.72,0,2,0,0,0,0,0,29636,7530,33472,5322.58,0,0,0
2021-01-21,254369.45,38432.98,9902.13,821.18,1244.98,3364.07,0,0,0,0,0,0,336.0967742,0,18.894,0,513.4,0,1013.89,0,2,0,0,892216,17965,179854,28187,5731,30037,5322.58,0,0,0
2021-01-22,83116.62,31409.11,7823.27,725.28,1244.9,3091.94,0,0,0,0,0,0,336.0967742,0,9.07,0,504.65,0,463.25,0,0,0,0,895137,9245,195407,28130,5627,31146,5322.58,0,0,0
2021-01-23,77435.63,33470.86,7409.58,644.64,1245,3026.74,0,0,0,0,0,0,336.0967742,0,6.465,0,531.63,0,422.78,0,0,0,7318,0,0,0,22376,4537,24817,5322.58,0,0,0
2021-01-24,78743.68,30076.79,7891.18,730.58,1245,3090.61,0,0,0,0,0,0,336.0967742,0,6.388,0,477.81,0,418.13,0,0,0,0,0,0,0,14261,4326,19742,5322.58,0,0,0
2021-01-25,51546.14,30261.91,6358.85,880.87,1538.44,3048.97,0,0,0,0,0,0,336.0967742,0,0,0,481.01,0,476.53,0,0,0,0,0,0,0,15834,5258,21439,5322.58,0,0,0
2021-01-26,74564.11,30034.66,7204.7,867.34,1645,2962.38,0,2500,0,0,0,0,336.0967742,0,14.221,0,485.08,0,483.54,0,0,0,5651,625,3,2276,15761,3819,18546,5322.58,0,0,0
2021-01-27,76871.82,31703.62,7591.16,785.08,1643.63,2762.49,0,0,0,0,0,0,336.0967742,0,9.326,0,500.84,0,448.56,0,0,0,0,1032731,11472,225928,16152,3871,19302,5322.58,0,0,0
2021-01-28,90957.95,35657.92,7795.56,869.7,1645,1782.7,0,0,0,0,0,0,336.0967742,0,8.614,0,503.87,0,465.06,0,0,0,7731,888691,9446,190430,17242,3862,23729,5322.58,0,0,0
2021-01-29,82320.52,39672.13,7141.31,740.5,1929.25,1663.79,0,0,0,0,0,0,336.0967742,0,4.962,0,511.72,0,430.94,0,0,0,18614,5216,357,1786,16295,3655,18406,5322.58,0,0,0
2021-01-30,88028.68,42287.14,7690.83,722.24,2045,2175.25,0,0,0,0,0,0,336.0967742,0,9.598,0,539.67,0,370.22,0,0,0,0,883392,6455,169911,12664,2209,12570,5322.58,0,0,0
2021-01-31,88231.85,39239.83,7703.89,759.24,2045,2485.23,0,450,0,0,0,0,336.0967742,0,38.976,0,501.58,0,375.65,0,0,0,7612,0,0,0,12185,2511,12602,5322.58,0,0,0
2021-02-01,77431.53,37814.55,7346.99,674.88,2045,2510.87,0,0,0,0,0,0,150.6428571,0,113.332,0,477.52,0,513.63,0,0,0,7252,18,0,183,16751,6001,22888,3928.57,0,0,0
2021-02-02,81802.51,37661.02,7418.42,677.84,2045,2239.33,0,0,0,0,0,0,150.6428571,0,61.171,0,486.46,0,530.05,0,0,0,7079,880742,4886,180000,14587,3390,15632,3928.57,0,0,0
2021-02-03,112396.25,37692.54,7337.55,702.16,2044.93,2226.92,0,7500,0,0,0,0,150.6428571,0,9.768,0,492.39,0,452.99,0,0,0,7041,108,19,1032,18196,4323,20048,3928.57,0,0,0
2021-02-04,80471.67,28436.93,7394.12,689.73,2044.98,2395.32,0,3500,0,0,0,0,150.6428571,0,34.902,0,507.34,0,452.19,0,0,0,7686,5,23,15,18673,4990,22434,3928.57,0,0,0
2021-02-05,105516.13,29167.84,6740.53,612.23,2044.95,2949.95,0,2500,0,0,0,0,150.6428571,0,69.871,0,502.85,0,307.51,0,1.5,0,7445,1002658,16120,182348,18436,4294,21851,3928.57,0,0,0
2021-02-06,90674.74,31575.28,7372.34,585.19,2045,3492.62,0,0,0,0,0,0,150.6428571,0,170.18,0,531.86,0,291.31,0,1.5,0,7284,0,0,0,15429,2652,15162,3928.57,0,0,0
2021-02-07,116924.02,30069.86,7484.01,581.53,2045,3604.66,0,175,0,0,0,0,150.6428571,0,152.09,0,503.59,0,239.53,0,1.5,0,42363,857922,8858,154634,12833,2696,13733,3928.57,0,0,0
2021-02-08,55769.29,25181.16,9385.43,617.06,2045,2592.37,0,0,0,0,0,0,150.6428571,0,60.493,0,483.35,0,189.28,0,0,0,6747,137,39,526,17106,5384,22825,3928.57,0,0,0
2021-02-09,76820.78,26281.53,7721.79,711.54,2045,2707.33,0,0,0,0,0,0,150.6428571,0,63.454,0,499.84,0,328.17,0,0,0,5927,0,0,0,19178,6158,25026,3928.57,0,0,0
2021-02-10,58230.4,27683.53,6730.42,698.72,2044.98,2818.62,0,350,0,0,0,0,150.6428571,0,28.638,0,486.65,0,278.1,0,0,0,5676,854823,6656,156637,15455,4972,20772,3928.57,0,0,0
2021-02-11,47965.96,25906.78,5838.75,683.32,2098.82,2188.7,0,0,0,0,0,0,150.6428571,0,4.181,0,499.23,0,287.73,0,0,0,5142,0,0,0,14283,3590,17003,3928.57,0,0,0
2021-02-12,67318.46,24207.57,6145.88,723.75,2083.01,2221.5,0,0,0,0,0,0,150.6428571,0,3.619,0,506.67,0,275.09,0,0,0,4823,848761,4314,152147,17053,3780,18554,3928.57,0,0,0
2021-02-13,69881.97,27941.42,6354.92,654.97,1745.17,2422.22,0,0,0,0,0,0,150.6428571,0,19.158,0,520.65,0,241.6,0,0,0,55590,0,0,0,12467,3042,15317,3928.57,0,0,0
2021-02-14,58667.15,26364.23,5876.2,781.47,1745,2685.5,0,0,0,0,0,0,150.6428571,0,22.802,0,509.08,0,236.98,0,0,0,4609,718817,2064,74863,10041,1358,8049,3928.57,0,0,0
2021-02-15,50016.36,22155.07,5042.65,529.85,1751.7,2433.55,0,2500,0,0,0,0,150.6428571,0,8.345,0,487.94,0,162.89,0,0,0,4169,20,15,130,13454,4935,19453,3928.57,0,0,0
2021-02-16,97963.13,20131.25,4635.87,428.41,1401.04,1803.18,0,0,0,0,0,0,150.6428571,0,11.912,0,481.03,0,172.56,0,0,0,4052,848141,6697,192060,13313,4409,17432,3928.57,0,0,0
2021-02-17,60604.68,20548.37,4619.86,449.11,1399.59,1800,0,1500,0,0,0,0,150.6428571,0,17.921,0,492.25,0,173.62,0,0,0,4239,20,24,111,14024,3213,13879,3928.57,0,0,0
2021-02-18,57677.89,20067.6,4924.36,601.65,1397.99,1800,0,0,0,0,0,0,150.6428571,0,4.979,0,494.36,0,215.35,0,0,0,4628,931721,6328,165788,136670,6526,47705,3928.57,0,0,0
2021-02-19,59415.84,20245.1,4143.97,583.69,1394.75,1800,0,1000,0,0,0,0,150.6428571,0,0,0,519.95,0,211.13,0,0,0,4796,20,20,109,13290,3174,14369,3928.57,0,0,0
2021-02-20,63512.88,20165.01,4381.23,528.89,1405,1800,0,0,0,0,0,0,150.6428571,0,13.021,0,515.39,0,207.23,0,0,0,4558,855293,4884,162684,13013,2470,12721,3928.57,0,0,0
2021-02-21,56862.89,19115.82,4437.99,549.11,1392.88,1800,0,0,0,0,0,0,150.6428571,0,31.032,0,491.25,0,202.99,0,0,0,5283,0,0,0,11728,1698,9419,3928.57,0,0,0
2021-02-22,67558.03,19206.75,4299.43,709.41,1404.54,1800,0,0,0,0,0,0,150.6428571,0,2.626,0,494.26,0,214.98,0,0,0,4178,836256,5164,158999,14464,4252,17340,3928.57,0,0,0
2021-02-23,45256.22,19189.77,4283.42,656.27,1400.88,1800,0,3150,0,0,0,0,150.6428571,0,12.476,0,490.97,0,227.5,0,0,0,4021,0,0,0,13041,3354,14532,3928.57,0,0,0
2021-02-24,84573.48,19869.76,4271.83,713.91,1367.72,1800,0,3000,0,0,0,0,150.6428571,0,16.028,0,509.99,0,198.83,0,0,0,3676,176,27,771,14249,3526,16008,3928.57,0,0,0
2021-02-25,64999.66,19107.21,4202.33,719.97,1282.43,1800,0,3500,0,0,0,0,150.6428571,0,5.902,0,507.78,0,197.82,0,0,0,3771,0,0,0,13838,3550,16159,3928.57,0,0,0
2021-02-26,61112.18,20097.85,4522.08,691.1,1248.71,1800,0,0,0,0,0,0,150.6428571,0,4.073,0,506.09,0,154.67,0,0,0,3748,656794,3406,135628,13491,3172,14467,3928.57,0,0,0
2021-02-27,69136.29,22130.4,5198.71,718.53,1287.75,1800,0,900,0,0,0,0,150.6428571,0,0.5,0,499.66,0,172.2,0,0,0,4296,0,0,0,11527,2018,11546,3928.57,0,0,0
2021-02-28,68883.55,21155.01,4857.39,657.01,1284.31,1800,0,0,0,0,0,0,150.6428571,0,52.826,0,500.05,0,206.24,0,0,0,4519,0,0,0,10396,2339,10131,3928.57,0,0,0
2021-03-01,60146.89,20724.62,4518.01,636.87,1276.98,1800,0,0,0,0,0,0,1273.83871,0,28.97,0,480.07,0,196.01,0,0,0,3735,842974,7473,170651,13671,3395,14664,4354.84,0,0,0
2021-03-02,53935.71,21313.84,5158.89,626.55,1295,1800,0,750,0,0,0,0,1273.83871,0,11.912,0,492.67,0,252.12,0,0,0,3699,0,0,0,11507,1959,10956,4354.84,0,0,0
2021-03-03,67287.5,21226.89,4533.37,712.95,1111.8,1800,0,9000,0,0,0,0,1273.83871,0,15.57,0,497.76,0,176.54,0,0,0,3521,235,174,691,12620,3735,16337,4354.84,0,0,0
2021-03-04,104649.83,22162.52,5084.56,799.29,1295,1800,0,0,0,0,0,0,1273.83871,0,12.223,0,509.61,0,212.47,0,0,0,3944,769336,6806,158964,14542,4064,17794,4354.84,0,0,0
2021-03-05,67042.82,22159.46,4776.14,710.53,1292.12,1800,0,0,0,0,0,0,1273.83871,0,3.825,0,500.8,0,203.33,0,0,0,3502,211,52,601,13524,3279,14380,4354.84,0,0,0
2021-03-06,65635.6,23766.25,4927.24,674.73,1295,1800,0,0,0,0,0,0,1273.83871,0,21.559,0,519.04,0,167.76,0,0,0,4336,0,0,0,11176,2670,12158,4354.84,0,0,0
2021-03-07,167722.04,21831.74,4824.6,729.21,1295,1800,0,0,0,0,0,0,1273.83871,0,18.781,0,500.22,0,134.25,0,0,0,5168,0,0,0,10389,2039,10216,4354.84,0,0,0
2021-03-08,202182.65,36109.88,6706.07,733.34,1306.88,3800,0,2500,0,0,0,0,1273.83871,0,12.755,0,502.86,0,206.31,0,0,0,6042,995393,15342,228058,21230,5750,25788,4354.84,0,0,1
2021-03-09,158251.58,45783.56,9754.31,665.54,1695,3686.48,0,750,0,0,0,0,1273.83871,0,23.322,0,494.95,0,341.3,0,0,0,230759,118,1,223,25179,6775,30073,4354.84,0,0,2
2021-03-10,140063.25,51052.6,7129.4,715.38,1695,3800,0,3350,0,0,0,0,1273.83871,0,12.218,0,488.49,0,251.08,0,0,0,8832,4003,536,4077,23304,5235,24785,4354.84,0,0,3
2021-03-11,167772.56,53978.91,9078.68,767.35,1701.75,3800,0,6000,0,0,0,0,1273.83871,0,28.24,0,504.8,0,394.88,0,0,0,5817,812626,4905,166364,26178,6049,28585,4354.84,0,0,4
2021-03-12,145967.5,52307.79,8925.76,749.76,1995,3800,0,300,0,0,0,0,1273.83871,0,54.832,0,505.6,0,402.39,0,0,0,184484,115,55,299,30190,6284,31910,4354.84,0,0,5
2021-03-13,126441.08,56237.03,9944.99,694.21,1995,3800,0,2500,0,0,0,0,1273.83871,0,29.545,0,503.08,0,418.16,0,0,0,7787,0,0,0,25746,6294,30639,4354.84,0,0,6
2021-03-14,115528.67,51920.78,9987.38,786.57,1995,3800,0,0,0,0,0,0,1273.83871,0,4.116,0,495.97,0,397.68,0,0,0,11045,0,0,0,22861,5533,24467,4354.84,0,0,7
2021-03-15,107593.43,54707.45,10241.74,1057.84,1995,3800,0,0,0,0,0,0,1273.83871,0,14.21,0,494.04,0,412.4,0,0,0,7717,805312,10839,192880,26143,7688,31852,4354.84,0,0,8
2021-03-16,138333.74,49928.96,9008.33,1302.82,1995,3800,0,0,0,0,0,0,1273.83871,0,40.947,0,501.24,0,394.8,0,0,0,218583,0,0,0,23945,6805,28671,4354.84,0,0,9
2021-03-17,120638.24,46514.81,9518.01,1351.66,1719.92,3796.25,0,0,0,0,0,0,1273.83871,0,13.401,0,505.54,0,423.54,0,0,0,6853,794699,7273,189140,25270,6811,29624,4354.84,0,0,10
2021-03-18,107354.9,46767.82,9204.68,1437.71,1745,3457.11,0,1000,0,0,0,0,1273.83871,0,22.315,0,504.58,0,555.82,0,0,0,5581,0,0,0,24704,7244,29849,4354.84,0,0,11
2021-03-19,120221.52,39674.7,7681.47,1106.59,1745,3479.29,0,2500,0,0,0,0,1273.83871,0,18.965,0,502.55,0,349.98,0,0,0,6560,131,84,540,23803,6293,29029,4354.84,0,0,12
2021-03-20,257005.79,36899.89,8134.83,894.88,1745,3800,0,0,0,0,0,0,1273.83871,0,47.243,0,496.08,0,331.25,0,0,0,582310,687252,7118,119374,29810,7586,33081,4354.84,0,0,1
2021-03-21,216569.99,37304.38,7576.63,777.26,1745,3800,0,2500,0,0,0,0,1273.83871,0,18.361,0,504.02,0,356.73,0,0,0,472788,0,0,0,22352,5525,25231,4354.84,0,0,2
2021-03-22,133036.08,38742.34,7129.3,1009.2,1745,3800,0,2500,0,0,0,0,1273.83871,0,22.156,0,486.38,0,389.88,0,0,0,109756,115,94,406,28911,8490,34445,4354.84,0,0,3
2021-03-23,201455.9,44074.09,7874.41,1114.22,1832.54,3800,0,9750,0,0,0,0,1273.83871,0,11.83,0,495.64,0,366.45,0,0,0,8285,0,0,0,33159,10435,40942,4354.84,0,0,4
2021-03-24,121021.91,42358.56,7121.55,994.19,1945,3800,0,4000,0,0,0,0,1273.83871,0,35.263,0,501.2,0,372.08,0,0,0,7119,3082,272,2076,27363,7660,35375,4354.84,0,0,5
2021-03-25,142782.72,41749.78,8357.82,979.43,1945,3800,0,6300,0,0,0,0,1273.83871,0,27.951,0,499.82,0,384.18,0,0,0,6907,632166,6779,121777,29187,9557,36272,4354.84,0,0,6
2021-03-26,160358.42,42861.82,8128.48,976.26,1944.95,3800,0,10500,0,0,0,0,1273.83871,0,52.116,0,499.04,0,371.9,0,0,0,7812,786055,9881,189549,26542,7487,32217,4354.84,0,0,7
2021-03-27,146447.33,44441.79,7861.83,741.9,1945,3800,0,0,0,0,0,0,1273.83871,0,28.656,0,513.9,0,349.56,0,0,0,7569,0,0,0,24600,6623,30346,4354.84,0,0,8
2021-03-28,121172.33,41005.93,8120.89,825.73,1945,3800,0,0,0,0,0,0,1273.83871,0,3.499,0,500.55,0,359.47,0,0,0,7273,0,0,0,21646,5230,23867,4354.84,0,0,9
2021-03-29,110450.55,40179.88,8029.55,1035.93,2024.68,5296.91,0,5000,0,0,0,0,1273.83871,0,5.749,0,482.86,0,375.94,0,1,0,524698,182,116,826,27814,9559,37071,4354.84,0,0,22
2021-03-30,99611.19,37710.76,8824.61,1022.64,2195,4588.64,0,0,0,0,0,0,1273.83871,0,8.862,0,495.98,0,558.7,0,1,0,6048,3056,220,3235,22633,6524,27727,4354.84,0,0,23
2021-03-31,141961.03,40419.69,8354.69,961.46,2195,4391.44,0,0,0,0,0,0,1273.83871,0,3.049,0,505.94,0,542.83,0,1,0,6699,778004,5839,168791,26538,8496,35214,4354.84,0,0,24
2021-04-01,113108.68,38427.51,7139.28,912.34,2195,4859.72,0,0,0,0,0,0,816.2333333,0,6.641,0,508.28,0,278.78,0,1,0,257304,765566,7836,180738,25165,8322,32931,5500,0,0,25
2021-04-02,216774.77,38428.41,7537.25,802.98,2195,4306.93,0,0,0,0,0,0,816.2333333,0,35.242,0,506.65,0,260.66,0,1,0,55090,1029896,6871,185848,37418,9807,39895,5500,0,0,26
2021-04-03,107676.94,35632.51,7437.92,686.86,1945,4946.62,0,0,0,0,0,0,816.2333333,0,19.795,0,499.74,0,254.18,0,0,0,7157,0,0,0,24363,5540,27765,5500,0,0,27
2021-04-04,106034.35,33733.13,7575.08,680.04,1945,4822.07,0,0,0,0,0,0,816.2333333,0,32.874,0,503.33,0,225.79,0,0,0,31241,0,0,0,18630,4835,20963,5500,0,0,28
2021-04-05,169300.71,35196.36,7897.32,934.86,1945,4537.43,0,0,0,0,0,0,816.2333333,0,30.403,0,492.98,0,326.66,0,0,0,7558,771156,20292,227854,26547,8528,34498,5500,0,0,0
2021-04-06,126245.63,37904.06,9097.48,943.17,2577.74,4405,0,0,0,0,0,0,816.2333333,0,13.302,0,491.3,0,333.88,0,0,0,274973,0,0,0,26260,8381,33749,5500,0,0,0
2021-04-07,138346.31,39808.98,8709.9,1176.82,3195,4630.99,0,0,0,0,0,0,816.2333333,0,44.779,0,488.2,0,423.83,0,0,0,6508,781091,4361,179495,25233,6832,30813,5500,0,0,0
2021-04-08,178132.97,49333.08,8691.48,1174.85,3195,6534.96,0,3000,0,0,0,0,816.2333333,0,21.137,0,507.05,0,407,0,0,0,26136,0,0,0,28246,10153,39212,5500,0,0,10
2021-04-09,186534.78,50033.73,8808.72,1046.37,3194.97,5634.92,0,5500,0,0,0,0,816.2333333,0,22.871,0,512.3,0,385.65,0,0,0,8028,613929,12353,141812,25160,7576,32836,5500,0,0,0
2021-04-10,159483.78,51345.07,8723.45,856.39,3189,6478.86,0,0,0,0,0,0,816.2333333,0,14.278,0,504.84,0,440.62,0,0,0,8706,49906,774,11387,24486,6813,28188,5500,0,0,0
2021-04-11,153769.72,49620.1,8711.81,772.35,3195,6290.43,0,4000,0,0,0,0,816.2333333,0,13.288,0,502.2,0,366.15,0,0,0,8039,0,0,0,22270,3900,19220,5500,0,0,0
2021-04-12,154495.81,52775.24,8886.29,949.47,3194.62,6490.03,0,12500,0,0,0,0,816.2333333,0,17.156,0,502,0,476.16,0,0,0,24225,134,98,421,27219,11149,41436,5500,0,0,11
2021-04-13,217012.87,51154.98,9058.11,982.13,3180.31,6682.14,0,3000,0,0,0,0,816.2333333,0,86.927,0,482.13,0,503.22,0,0,0,10599,782016,11910,201959,28699,10096,39901,5500,0,0,12
2021-04-14,195076.16,52259.6,9056.74,983.97,3190.18,6344.11,0,7500,0,0,0,0,816.2333333,0,183.412,0,487.78,0,647.52,0,0,0,8515,134,87,212,30941,9229,39527,5500,0,0,13
2021-04-15,163905.44,52992.34,9118.6,1095.38,3195,6434.74,0,6550,0,0,0,0,816.2333333,0,53.154,0,492.03,0,655.61,0,0,0,8649,0,0,0,31523,10521,43061,5500,0,0,0
2021-04-16,159947.15,53690.82,9093.47,922.31,3195,6100.22,0,2500,0,0,0,0,816.2333333,0,46.466,0,506.01,0,508.07,0,0,0,8576,59813,1394,8984,28006,9023,38695,5500,0,0,0
2021-04-17,164384.19,57411.76,9327.73,866.79,3195,6394.16,0,9000,0,0,0,0,816.2333333,0,25.734,0,527.85,0,325.58,0,0,0,8436,1044893,14951,241787,24918,6376,29902,5500,0,0,0
2021-04-18,162316.6,53686.03,10229.74,1091.09,3186.06,5799,0,0,0,0,0,0,816.2333333,0,26.048,0,502.56,0,279.89,0,0,0,8871,0,0,0,23280,4808,22343,5500,0,0,0
2021-04-19,186047.68,57176.99,10500.4,1423.56,3175.68,5547.69,0,21000,0,0,0,0,816.2333333,0,45.841,0,480.56,0,304.35,0,0,0,76229,137,85,323,30491,10375,41069,5500,0,0,0
2021-04-20,173722.3,66234.85,11262.07,1297.15,3195,6799.29,0,900,0,0,0,0,816.2333333,0,30.056,0,488.72,0,323.93,0,0,0,9693,13,7,68,31548,10606,44540,5500,0,0,0
2021-04-21,208160.94,71209.98,10885.35,1036.26,3176.62,5981.07,0,10500,0,0,0,0,816.2333333,0,44.921,0,503.63,0,305.54,0,0,0,9369,150,105,679,31689,9882,40350,5500,0,0,0
2021-04-22,190055.57,70899.27,10698.59,981.05,3195,6865.59,0,6000,0,0,0,0,816.2333333,0,28.118,0,499.7,0,253.19,0,0,0,10016,773897,9165,198190,34207,10349,43966,5500,0,0,0
2021-04-23,178527.94,71862.29,10363.05,1009.32,3177.07,6317.21,0,6750,0,0,0,0,816.2333333,0,25.564,0,505.49,0,184.82,0,0,0,81904,150,75,280,33984,9924,43926,5500,0,0,0
2021-04-24,175292.1,76374.37,12082.01,770.76,3468.3,7504.45,0,0,0,0,0,0,816.2333333,0,11.982,0,519.34,0,99.62,0,0,0,115945,0,0,0,30320,7573,35702,5500,0,0,0
2021-04-25,176426.45,69278.99,11657.04,851.16,3595,6117.16,0,0,0,0,0,0,816.2333333,0,28.922,0,492.61,0,73.92,0,0,0,10308,796047,11179,201954,26832,8413,32266,5500,0,0,0
2021-04-26,173669.64,68170.87,11927.72,964.03,3733.29,7063.23,0,3500,0,0,0,0,816.2333333,0,10.261,0,493.36,0,151.51,0,0,0,10137,150,78,280,32548,11154,43033,5500,0,0,0
2021-04-27,169679.48,61249.18,12406.46,1058.97,3795,6317.14,0,1250,0,0,0,0,816.2333333,0,46.011,0,485.79,0,209.4,0,0,0,9318,800464,11472,252384,32799,8444,36048,5500,0,0,0
2021-04-28,147613.27,56337.21,11270.15,928.98,3780.72,6409.94,0,6000,0,0,0,0,816.2333333,0,26.087,0,495.7,0,207.53,0,0,0,9351,150,84,416,32500,8890,39671,5500,0,0,0
2021-04-29,145415.49,54798.63,10803.25,957.21,3660.46,4256.38,0,11500,0,0,0,0,816.2333333,0,75.346,0,508.8,0,222.52,0,0,0,57570,2912,292,1667,33116,10475,43022,5500,0,0,0
2021-04-30,169187.82,52987.47,9425.74,828.89,3420.06,4337.43,0,8000,0,0,0,0,816.2333333,0,39.559,0,513.32,0,173.9,0,0,0,363297,150,79,451,31624,9390,40690,5500,0,0,0
2021-05-01,152193.76,55393.52,9823.03,768.12,3412.76,4700.5,0,0,0,0,0,0,2052.677419,0,28.929,0,510.42,0,186.3,0,0,0,10545,0,0,0,28213,6891,32923,6483.87,0,0,0
2021-05-02,163117.45,52775.04,11068.25,785.07,3407.01,4687.58,0,0,0,0,0,0,2052.677419,0,49.666,0,504.3,0,240.93,0,0,0,9174,58744,1777,18158,26390,6730,27991,6483.87,0,0,0
2021-05-03,158232.42,51207.7,10280.2,958.86,3420,4613.16,0,0,0,0,0,0,2052.677419,0,39.44,0,485.69,0,320.48,0,0,0,9072,167,99,649,29925,11321,43361,6483.87,0,0,0
2021-05-04,118003.39,50662.97,11676.18,915.65,3418.57,4401.26,0,2500,0,0,0,0,2052.677419,0,36.887,0,482.82,0,399.61,0,0,0,7902,0,0,0,28617,8308,34661,6483.87,0,0,0
2021-05-05,144139.31,51187.79,10454.73,1019.73,3468.18,4617.69,0,0,0,0,0,0,2052.677419,0,22.715,0,502.35,0,304.04,0,0,0,593575,793221,5663,206913,28419,7281,32988,6483.87,0,0,0
2021-05-06,129886.04,50911.07,10759.1,1005.04,3612.26,4236.35,0,4000,0,0,0,0,2052.677419,0,15.393,0,492.83,0,232.92,0,0,0,7980,257,255,1421,29458,9096,37042,6483.87,0,0,0
